name, coast, provider, long, steel_mark,
Канат оцинк. 1.8 смазка С А ГОСТ 3062-80, 8.17 цена за 1пог.м,руб с НДС, Гарант-Металл(495)374-91-03, None, None, 
Канат оцинк. 1.8 смазка С А ГОСТ 2172-80, 13.00 Цена за 1пог.м, руб с НДС, Гарант-Металл(495)374-91-03, None, None,
Кгруг 2 серебрянка гр.В отжиг, 400 000 Цена за 1т, руб. с НДС, АРЕС-П(495)640-70-79 400 000, 1.44-1.5, У10А
Саморезы 3.5х40 универсальные с потайной головкой крестообразным шлицем острым наконечником крупная резьба белый цинк РФ ТУ 1640-014-55798700-2006, 207.50 Цена за 1кг руб с НДС, Метизная Торговая Компания(495) 921-40-15, None None
